,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
948,Rozanne Cloete Zondagh,"I’m not impressed with Mascom at all. KYC was done and successfully submitted long before the due date at Airport junction branch and today my lines are disconnected.Why waste my time to go in time to be compliant and then they disconnect.Mascomplease sort your systems, it’s wasting valuable time for all.",4,13,Sadly mine was disconnected too the 124/129 number they say we must call isn't helping us,
949,Katso Dj-king Moriski,Mme gone ha re BOTSA WHAT. IS KYC MOSOLA WA YONE KE ENG AKERE HA RE REKA DI SIMCARD NE RA DI REGISTERA OF WICH IT MEANS. ALREADY NE NTSE BANA LE. OUR INFORMATION WHY DID WE. HAVE TO STAND IIN LINES TO SUBMIT INFO BATHO BA A NE NTSE BANA LE YONE INFO WICH ARE SUBMITTING ROUND 2 JAANONG GO LEBEGA THEIR SYSTEMS DI PALLWA KKE GO PROCESSER INFO WICH WEE ARRE SUBMITTING THE SECOND TYM COURSE A LOT OF PEEPOLE WE COMPLAINING RE DIRILE KYC YET WE. ARRE DISCONETED HAO LETSA UTLWA GOTWE…See more,,,,
950,Kwashirai Chigodora,We need an empirical experiment where portable routers from the terrible trio are bought and each kitted with similar mbps packages. then taken to different locations and tried out and their performance recorded. Is there anybody willing to commission that? Say so and project proposal will be made.,,,,
951,Boitshepo Ndasiiwa Matenge,"Richard please help us with this shop they are selling buildings materials, last year I bought a geyser from their shop, I used the geyser for less than 5 months it started giving problems I changed switch and thermostat after changing those the geyser blasted (sp) when you contact them they won't help. It's so disappointing but I told them um buying from them going to Maun and it's costy to come time and again to their shop. Please talk to them so they help us.",22,17,Golo gase geyser fon kon.,Bought 2 geysers 2 to 3 years back after fitting both didnt work went to them and was just given thermostat to put and they worked . Go raya they new it was faulty but sold it anyway
952,Bravo Junior Lepadrē,Ao guysMascome nkgaotse kesa lebelela di videos legone kesa irisa facebook lebaka,9,12,E ira jalo mascom dio di sele,Use B mobile u won't go wrong
953,Nicolette Kirsty Chinomona,So basicallyMascommade us wait in a 3 hour queue in March to do KYC and now they are threatening to disconnect me and I’m now in another 3 hour queue to do the same thing. The level of disappointment of all the people in line  is astounding! An absolutely atrocious way to treat decades long customers. If I could transfer my number to any other mobile service provider I would do so IMMEDIATELY.,48,44,FINAL UPDATE (Hopefully ) ,
954,Boitshwarelo Kelepile,Nthusang homechoice I didn't order sepe ko go bone mme i keep receiving those msgs fa ba letse n i try explain this to them they cut the call today ke bona msg gore go duetswe go duela mang jaanongbogodu kana eng?,34,39,"Maybe you are using a recycled number. But then again, the amount due keeps on fluctuating irregularly ",That's Home Choice for you.
955,Adellah Mahuhadah Tsoahae,"Bathong orangeke subscribile phakela thru orange money,egogile Madi nna kemo go zero mode,called them bare Bata baakanyaeven now dololo....I needed airtime ketsenya thru orange money gape akere keteng koke nang Le Madi TENGdololo ka airtime bone ba gogile Madi...fakesantse ke maketse bare kesetse ka 3days gore ke duele stakolole....kante ORANGE KE BATHO BA BA LOKILENGBANA LE MAIKUTLO KANTE",11,23,Nna ke ithobogile ..ba tsere ame,Orange ke scam bao
956,Mogare Mufasa Mogare,First Capital Bank BotswanaWhats taking you so long to send me my loan settlement?I booked the settlement at CBD Branch on the 5th of this month and requested you to send it through email.Everyday am calling your customer care line am told the same thing we will send in a bit... Am not happy by your poor service,4,3,Go batla re ba report ko NBFIRA 3102595.nna ke lapile ke go bona go sa Lele sepe,
957,Anneline Singh Puskas,So you all know the story that hundreds of thousands of our numbers were blocked even though we registered online successfully.,4,3,Yes nightmare,And the lack of communication! If you call the help centre they can only tell you to go to a branch. Their FB page is just adverts for their products to get more money and nothing about what's happening with people who have completed and submitted KYC… See more
958,Ndingililo Mothetho,Ka maitseo le boikokobetso ke kopa lo re baakanyetse network ya lonaMascomimagine ke subscribile mme ke tshwana hela le ba basic mode cant do anithing ka sub yame why le re tsaa jalo Kante,19,26,"Everyday ka,7 ba simolola",
959,Itumeleng M Itumeleng Itumeleng,"Spar sa Engen Palapye ke kopa le ntshe Lebete/ox Spleen seo mo Fridgeng go senyegile, ke rekile ke sa lemoga ,ke lemoga kere ke a apaya",6,7,Le di yoghurt tse di exparileng,Toro K-lo Kaisara  bona
960,Gramma Din,,1,,Does anyone know which Orange has network in Gabs to replace sim card. Game City no network like always. Please its urgent,Does anyone know which Orange has network in Gabs to replace sim card. Game City no network like always. Please its urgent
961,Keit Molato,Kare lo ntshwere ka basic mode today aker..orange Botswana I guess I'm paying for my Internet router and le a re talelela gape lo  lenyatso shemm.why don't you upgrade your Internet mme goneaooo bathong,1,10,Le nna ya pala,
962,Boity Kushbae Kufigwa,Access Bank ga lo re e rile sentle fa go tla ko insurance,2,10,"Ijoo nna re bona one ao,,,,, mathata",Revisit the policy booklet if ga gona fa e supang teng gre every year premium ya oketsega ka certain % they should be able to assist you 
963,Nomonde Tisckque Mkhushula,"Hi guys!ke kopa go botsa gore what exactly cause negatives mo bank account'n ,I always get P-36 or less but this time around it's P100 and labofelo ke withdraw was on the 10th I need clarification pleaseFNB Botswana",37,65,Precious Motsopa wa e bona kgang ye,
964,Janet Goitseone Manja,Bathong I have an hour ke dirile my social like now um using basic mode..mascom ke kopa le buse data yaaka.  Le dira bogodu felaMascom,59,61,"Tsenya mo flight mode for about 60 seconds, then switch back mobile data on e tlaa siama.  Le bata go rutwa sengwe le sengwe mme Tse dingwe le a di mastara le sa di rutwa ke ope.",Restart your phone
965,Botika Andres Màcmillían,Skeif your orange dials..Keo irele 1gbWhat you have to do is to download the aPp,6,7,Owai nna sale ke heditse le data eo last year,
966,Xena Olivier,"To say I am disappointed inMascomis an understatementThey have inconvenienced me a lot. I have been KYC compliant and all of a sudden I’m getting texts gore they are cutting my simcard. how? When I’vedone your kyc, next thing I try their online registration and it’s telling me I cannot register because my simcard doesn’t belong to meWhich is a surprise since I’ve owned this card since 2019 .. Their call center isnt of much help either , how do I visit a Mascom outlet whe…See more",24,54,Kana le nna ke bona one ao dear sale maabne I'm off air ka number yame ya mascom ,Ke bone story seo 
967,Kabo Maroba,Mascom please refund or extend our subscriptions! Your routers have since stopped connecting and we sort alternative internet subscriptions!! This can’t go on forever! Enuf,91,91,"Mmasekhomo, o mmolai na",
968,Katso Dj-king Moriski,WE ARE BEING DISCONETED FROM OUR DI CARDS AND WE SPEND MONEY AND ENERGY RUNNING AROUND TO ORANGE MASCOM A D BTC OFFICESS ONLY TO STAND IN LINES OF WICH WHEN WE GET TO THE HELP DESK THEY ALSO DO NOT KNOW WHY WE ARE BEING DISCONETED AND INSTERD OF BEING SINCERE AS TO NOT KNOW WHAT'S GOING ON THEY ARE RUDE TO US TO WICH THEY EVEN CUT OUR CALLS WHEN STILL TALKING TO. THEM GA RE BA LEDITSE WE THAUGHTBotswanaCommunicationsRegulatoryAuthorityBotswana Communications Regulatory Au…See more,1,3,La sokola tlhe,
969,Khumiso Tumi Bashanako,,772,543,"Ha o dirisa Mascom router kua ore ""number last because of you.","Ha o dirisa Mascom router kua ore ""number last because of you."
970,Masedi Secso Gopane,Mascomwhy can't you inbox us...we have been waiting,7,5,Mascom ,They will apologize the whole year
971,Walter Mafokate,"I feel like people misunderstand how the soft cap fromOrange, Mascom and BTC work. You can pay whichever amount you pay but once you have reached your softcap limit the internet speed will go down hence why y'all complain about it. If you want truly unlimited speed then subscribe for Jenny, Nashua and other ISP because complaining won't solve any of your problems. Softcap means that your speed is to be high until you get to your data limit.",103,99,Hane ba bangwe ba na le router you can travel with lot of us nkabe re hudugile...,nnyaa rra eo we understand it very very well and that's not even what we are complaining about at all...Mascom and BTC give us slow to No internet from day 1 of the month to the last..sometimes they give us a slightly moderate speed but still far below… See more
972,Katso Dj-king Moriski,WA. ITSE KGANG ENA YA KYC E UTLOSA BOHLOKO TOTA BECOUSE THESE ISSUE YA KYC IT WAS ROLLED OUT DI NETWORK PROVIDERS DI SE READY KA GORE. LEHA O NA LE MATHAATA REGARDING THESE ISSUE YA O LETSA UR NETWORK PROVIDER THHERE CUSTOMER REPRESENTATIVES ARE RUDE HAO BA BOTSA DIPOTSO EBILE BARE ARABA POTSO TSA TENG WITH COMPLET RUDNESS BARE HELA DIPELO MO BARE DROPELANG NTSE RE BUA JUST CALLED ORANGE LE DROPETSWE GA 2 MOORE KA NE BA MPHELA PELO it's so disapointing tota,3,2,It's so sad,Ao dirile kyc
973,Bene Daniel Slee,Tota BTC router ya lona ena le 2weeks e sa bereke go sena internet who will account to those days kana tota gale re direle sentle bathonWe subscribe for a monthaah,9,13,Calvin LincolnKompone ya lona,"Nna ke itlhobogile ka BTC,le go bula di picture hela o tla ema gore o itlhoboge,e bereka go dikologa so nna kamoso ke kgaogana le bone,ke tla leka tse dingwe ko pele,ke duella mahala hela"
974,Bee Ayeh,"OrangeThe fact that I have been to your offices three times (Twice in Phakalane and once at Airport junction) , and including online registration , and you have disconnected my SIM card today due to apparent KYC, by your Helpdesk, is a huge inconvenience to my business. Gape ya’ll insist I am KYC compliant whenever I visit your kiosks and today I get disconnected. What in French am I supposed to do now?!! Mxm and half plus more mxms",27,15,Phakela ba putsaputsa dikeledi hela ke sekgowa se Bee...,I got blocked again. I am too exhausted to do anything 
975,Mawity Witness Mbulawa,Mascom le gorogile jang kogo 103,215,232,Nna ke bata le go tswale mo foneng yame,"I thought maybe ke nna hela.. maabane ne ke hilwe option ya P30 then I took P5 then today gatwe ke kolota P51,63"
976,Mike Miyaghi Monnaatsie,"Yo o kgonang go bua le BeMobile a ko a mpuele le bone e ise ke tenege,,",11,23,Nna Mascom disconnected me but I did kyc,"On Sunday I was sent an ewallet. Didn't receive the message, tried to check balance and it gave me that response. Thought they cut it and asked the sender to reverse the money, then I received the message wa reversal. Before that I asked people to call… See more"
977,Maureen Maikano,"Bogodu aahwhy,le skare location..ke nale 2 years ke o dirisa same location..orange this whole month e dira hela Jaana.. ga ele lenyalo lame le Orange divorce e hella today",25,42,"O bua nnete, e changile Orange, nkile a bo ke e boka owaii, re bereka go e sutisa everyday ","Ijoo ere bintsha go sa Lele, nna kooteng leina lame le no more bale kwadile mo loboteng gore yo haa letsa pasop"
978,Adam Bekezela Avon Sibiya,Choppies BotswanaBobididi Mogoditshane this is absolutely value for my moneyCarrot cake my favourite I give you 200%Am definitely coming back for more.,243,94,Big ups to Choppies Kopong dey sell the best chocolate cakes,Bobididi ke ha kae mo Mogoditshane?
979,Moipow Sekwakwalla S'kgotlha-poison,I would like to name and praise Kushatha Pule for her excellent customer service via the Water Utilities call center. She was patient friendly courteous and attentive! O tswelle jalo nnaka!,3,,,
980,Kabo Brian Letsogo,Mascom no internet for 4 days. Home internet.Gaborone extension 14/Fairgrounds area.Orange has frequent outages but when the internet is there . It bangs 4-8MBps easy.…See more,46,47,,
981,Dunas Lady-Gee Solomon,"Orange- Nna orange e ntsenyeditse Bua le nna yo nna ke sa mo subscribela. Gatwe odirilwe ka d 2 o fela ka di 30 mathata Bua le nna wa teng ga mperekele, ga Ke letse ka ene. Maabane kadi 15 ketswa orange shop-Ghetto teng koo le phone yame ke e rejector some numbers including ya bone mo orange - Francistown. Goraa gore fa kele koo ne ke nale units-nyana ele tsone d letsang so re bo re tsaya gore bua le nna jaano wa bereka  Kante dololo. Kekopa ba orange ba ntshe buwa le nna mo…See more",9,,,
982,Molefe Kgomotsego Daniel Alfie,"Betsho le rekisa di perfume  tse difa tse... There s nothing wrong with that... Problem koore drive ya teng is likely to result in disaster if not properly handled. I see so many ppl recruiting others to join ka madi, and they will make madi etc. let's be careful my fellow country men and women. Before you join any scheme, make a research ka sone.",27,27,"This is where the problem is. Join ka a certain amount, recruit others to join you. Each person you recruit you get 90% of the recruitment sum(according to the advert). isn't this a disguised pyramid scheme? Le sure ga le na golla gape?",
983,Katlego Mabotho,MascomOnly after literally 7 days after subscribing for Wi-Fi... Then router ya bone bo e swa by its self ga ke isa ko Mascom ba simolla bare simcard must be damaged since ne ere simcard not detected... Ka segaa simcard still router hae bereke.... I left it ko mascom wa gamecity Eloore bare ba isa stock gore e baakangwe go Tewa ko e tswang teng... Waii kaha ba nna hela basa ise stock bare haba kgone go print receipt ka gore printer e sule mme they need to print it gore e ye …See more,25,29,Mascom number 1 because of YOU.  ,Nna ha subscription ya teng e hela I will move to another prover ND  dispose their router..
984,Du Du,"We woke up to Blocked Drains in Mogoditshane behind Nkoyaphiri Clinic...Tracing the cause, we found.... A 50KG Heap of dipampiri tsa Special sa Game Stores , Clicks and other shops stuffed in the main Drain ya CouncilWhere can we Report this bathong",107,22,They get money to distribute but they always dump them the  go and drink the cash off,
985,Keneilwe Moeng,BathongMascomsuch a big company e dira yana since motshegare ake bone dinepe mme they are quick to limit us,1,7,"Even my modem aint working,i called the call centre no one answered,this is pathetic to be honest.",
986,Namzy Phale,FNB BotswanaI've been receiving such notifications and I have not made any transactions on those dates. What is the meaning of this?,51,182,I’m interested in how the investigations concluded,I have one for some 84 every now and then!
987,Matlakala Boitumelo Stakie Medupi,"ABSA Phikwe branch, la re re dire jang? YourSala di nna down maloba till now. 16.07.2024.",3,1,Absa Bank Botswana Re kopa gore le baakanye di  tsa Lona mo Phikwe.,
988,Theresa Kennedy,DearMascom.looks like you respond only to those who post here. Re kopa gore le baakanye internet le lese bo inbox bcz lea bona gore we are complaining rothe as a country. Ga ke bate go le lata koo.,103,37,Mascom your service is substandard .,ba late mma...aish bathong
989,Emily Ookeditse,Mascomare you going to reimburse us this month's subscription because we are hardly having internet despite having a active subscription,46,28,,
990,Katlego Clementine Kasandola Zama,Orangelare re reng ka network ya di router its been 2 days now. Yesterday your network came around 10 bosigo today e on 5 mins 10 mins off. How would you compensate our 2 days. Gorileng you didn't even mention any network fail mme you never hesitate to cut us fa our connection e expire.,14,8,Hey mme ba Orange ba batla to be called to order ka internet ya bo e e siyong most of times.,"Gare le data ya phone motho wa Modimo,e bereka go hela mme e sa tshware,sale leswe le la bone la KYC,mxm"
991,Krystal Clarke,"DearOrange, I am very disappointed in your service. I did my kyc online and was told it was successful. To make sure I also went into your office at Airport Junction. I gave all my info including the information for my new passport and was told I have completed my kyc. This morning you have blocked my number. I make a call to the call center and I am told the kyc failed because you have entered incorrect passport information. The worse part is that those at the call center c…See more",8,3,I am blocked again and I have given them all correct information ,Like wise. Its my third time in 6 weeks.
992,Djhot Da Maestro,Orange BotswanaE dira dilo tse kesa di tlhaloganyeng ke phakela ke le online makuku  15 - 30 mins then prepare myself for work fa kere ke nna online ka Breakfast ke fitlhela ke kgaotswe ahh day 2 ...now,4,8,Ke tholetse go re-starter phone kante ba nkgaotse,"Mabane I subscribed all my internet ke re ke dira sengwe, just for 1 day, e gana go log in up until today ebe e expire, imagine.... Ba re tsietsa,"
993,Lebohang Dinyeka,"OrangeBotswana...kante why le re utswela? I subscribed for all my friends and all my internet then within 5 minutes I can't even do sepe hela even on FB or Whatsapp until the following morning...ha le ire sente, golo moo bogodu!",18,16,Ke location ke tsaya jalo. Ga gona network coverage.  Mo Gaborone both mascom and orange wifi internet on their routers works like charm,
994,Jay Kevin Bagwasi,"DearMascom, care to explain why my router is receiving 1mpbs to no internet connection at all, since last week",59,99,"Mascom, maabane ne ke kgona go mamaisa, today go worse ",
995,Tootini Ntalabgwe III,Mascom internetSetse ke akanya go tshuba router e ya bone. 3 weeks connection ele slow..Imagine o duela P600 monthly,96,107,E go tsaa jang tota,Re bona one ao.I've stopped my subscription.
996,Tlotlo L. Moilwa,DearMascom,78,74,"Aa lona la lapisa Mascom , nna ebile ke batla go tsaa golo mo ga lona ke go chwetle ka koloi","Heelang July hela a simolola internet connection went from hero to zero, koore we struggled so much to connect that I thought it was finished, sometimes we will go the whole day router e gana go connecta and it's still happening and mascon never addres… See more"
997,Bosa Dibate,Dumelang..I have been receiving dis messages from an unknown number everyday ka 2000hrs on ma orange number .kopa go botsa gore does anyone have the same problem..Orange Botswana help,19,14,Aah it's a problem,
998,Manno Mfa Marotsi,,52,18,Orange e kae internet..the batho rona re bereka ka yone unlike u we don't lazy around in offices and get paid for doing nothing,Orange e kae internet..the batho rona re bereka ka yone unlike u we don't lazy around in offices and get paid for doing nothing
999,Allyson Kgathi,"Kopa thuso I made a laybye mo cb stores kasane 3 days after I went back to them ke kopa gore ba e khansele since rraagwe bana a tile a reketse bana dilwana tsa mariga,they refused ba re santse e le ncha. I went back after a month same story e bo bare ke emele expiry date ..the amount of laybye was P1900 e bo ke ntsha P400..today expiry date ba re out of that P400 they are giving me P13 is this far ne batho",314,263,Baa go tholela nka bo ke go thusa mathata ke kgakala,Handling fee is 20% of the total amount paid.. They were supposed to take only P80 as their handling fee and refund you P320..
1000,Nkosi Moremi,Tlokweng Sub district Council and  Roads department please consider putting traffic lights at Modipane turn off that intersection is  very dangerous please let's not wait  until a disaster happens .Ke a leboga,4,,,
1001,Richard Harriman,,19,2,Manager wa cb stores kasane re mo thuseng batho,"It should be the education system. There should be a course and why paying taxes is important, how to budget etc... The consumer community is a volunteer group..."
1002,Vincent Bubukins,BOTSWANA POWER COOPERATION,8,13,Try a diferent route,Kays Galetlale Mooketsi ga se nna hela
1003,George John,Kooteng Internet yaMascomle yone e mo holiday. Since Friday it's been operating at 0.01 mbps.,52,69,"O seka buwa ka bao ebile ke batla go changer network, ntse ke ipotsa gore whats up with my router",Btc yone e re jela Madi tota
1004,Becky Gotsilewame,Water Utilities  sale re kopile go baakanyetswa pompo mo Selokolela it's been weeks ntse go ntse Jaana ke ile Kanye ka di 8 ba Seka ba nthusa mme ka y Warmter Utilities ya Jwaneng ka 11 le bone gaise ba re fe thuso a buile fela gore ba ta tsenya mo dicomputer tsa bone le gompieno gaise k thusiwe metsi one ntse a tshologa.,126,105,Lletsa head office batsile go e baakanya 9 bosigo ba kgona go phakela malatsi otlhe bare batla koo baya chibukung,"Ga o ba itse,re digela dikgwedi re reportile pipe fa lwapeng e tsholola metsi ,ba kolote o tla bona letsatsi Leo ba nale transport, ba sianetse go kgaola metsi"
1005,Rubiness Ru'Ru,Richard please help. Orange Botswana is being quite an inconvenience. I withdrew P900 on the 30th June using FNB atm. The money got deducted from my account and the cash didn't come out. I reported the incident both on their helpline and also went to their store for physical registration of the complaint. 15 days later am still waiting on the reimbursementworst holidays ever with all plans ruined.,7,16,"Sale go ntiragalla jalo mma kere ke casher 400 ka 2022 ka January even now, Orange nne ne ba rile Madi a tlaa bowa within 45days kgantele fa ke letsa ke bolellwa ditori tse di farologaneng",Inbox detail's mo our messenger.will sort tomorrow
1006,Onthusitse Bojang,"Mascom Botswana,am not happy at all and I made it clear to ur employee,On the 7th July I subscribed for 7 days My social bundles at around 2020 Hrs but the I couldn't connect or I should say it was like I didn't purchase the aforementioned bundles.I called your office and someone tried to assist by ordering me to switch my phone off and then on but nothing happened,when I called for the 4th time I was furnished with some settings which didn't work for me either,mind you when …See more",18,10,"Uuum the same thing happened to me.thuuuu I will will  never  ever buy di bundles tsa bone again.ke ta di reka ke idibetsi ke gore le fa re ka sala rele two molefatsheng nxwiii struuu I swear. Switch to the left switch to the right, settings what what haibooo.",So what was the problem? Why couldn't you connect?
1007,Tshepo Mems Lekuta,I swearBotswana Telecommunications Corporation - BTCwill be the death of me.,10,10,"Bare sotlile tota, imagine 2 weeks Internet ele down",Re sokodiswa ke batho kana go raya gore ba bula ka Laboraro
1008,Winnie Tee,Bathong BTC service ya lona its very poor. bought router teng it only worked for 3 days ke bolawa ke mosepele wa go nna hela koo go bone yet go sena mosola. 3 weeks now ntse ke opela pina,3,8,fa ke riana beke ya wela,
1009,Cee Jay,Botswana Power Corporation - BPCI am still failing to buy electricity today ie since yesterday. What is going on? Machines are saying you temporarily disabled connections.,1,,,
1010,Lebogang Giddie,"I guess we don't necessarily have to come here only to convey ""Bad News"" all the timeBatho keba ba re senkela melato with their ever so convenient inconvenience to uncomplicate complications only to recomplicate themWe do thank them and are forever grateful for availing these services that rescue many a situationToday I choose peace and will repay their long overdue BWP50 at my convenienceDanko#MascomMascom#thankyou#NumberOneBecauseOfYou",8,4,"Lebogang Giddie ebile ke emetse court date koore ke rogile ""manager"" wa MasiiwaCommunications a.k.a Mascom...ba ndropetse mo tsebe ...",
1011,Oarabile Tournique Sedimo,"Koore Mascom e ate e nne serious? Ke ipone ke emella mo Shashemooke keya Francistown just for this Kyc thing, next thing ba nsendela this rubbish. Ke shimile tota, bare thokela mmereko nxlaa",7,13,Story of my life,Oarabile Tournique Sedimo o utule akr gr bare o ba sendele ur namba thru inbox ba go thuse
1012,Gina Phela,"Kante Orange entse aang ne bathongI've been trying to buy electricity using other service providers and they have been declining hela basa tsee madi ba supa gore the service is unavailable looks like there is network problem, abo kere ke leka ka ba! baba re dikang le di scammera ba..ba goga madi gaba ntshe token ya motakasei try n call them bare madi ata boa in 3 working days n ha se lantha ba ntseela madi a motakase orange bare ata boa. Orange Botswana naare le join …See more",18,12,"Ok sharp ra utwa Bpc ena le problem kgang ke gore orange yone madi e a gogile nd ga bana ba a busa orange yone ena le bogodu sale ba jele madi ame kere ka cash last month  ga aise a boe , ka reka motakase ba seka ba ntsha token thn thy said thy wil ref… See more",Kana mme ke thalositse gore yes i do i agree there was an electricity vending interruption..yang orange yone ke eng e ira bogodu jwa go goga madi ntswa ba itse sente gore ga nke baa busi
1013,Nametso Gontse Moeti,"Botswana Power Corporationwe are unable to purchase Electricity, it's been hours now!!!!!!!!!!!!!How long is this going to go on for?????",14,23,,
1014,Kĥäĺì Panda,OKFurniturekante why le dira tiro e bosula e...I'm sure other furniture's they do that alsoLefa motho di pampiri tse dintsi gore a sign le sa mo tlhalosetse sepe...I'm sure Batswana ka bontsi ba itemogetse se...That is being dishonest cos le a go bata go itshwarella ka signature mme le sa tlhalosetsa motho ka bo insurance...nna ke bone madi a delivery a tsenntswe mme ke latetse phone ko go lona so akeitsi gore go tewa delivery ya eng ye ke sa e bonang...lesang go re utswe…See more,145,62,"That's what happened to my mum ko Furnmart, ba tsentse madi a delivery mme a itseetse tv mxm magodu a",Go na le Madi a insurance a addilwen ..Mme fa o cleara Madi there is no cash back  ya Madi a teng jaaka Di loan Di dira .
1015,Vincent Tlhalerwa,"I want to express my extreme dissatisfaction with the recent experience I’ve had withFNB Botswanaregarding their gold card. For years, I used a smart card without any issues, but about three months ago, I switched my banking to Stanbic. Despite the change, I kept my FNB account open for other purposes.",22,10,I don't think they care anyway ,So you heard numerous complaints and unexpected charges and somehow you still went ahead? Guys when do we start learning?
1016,Yame Yone,Water utilities pliz come n help us sale re ripota drain ya lona mo newstanse ha market wa 14 metsi are tsenelela mo ntlo n it's not healthy ke na le bana bannye  kealeboga,16,12,Call toll free ya water utilities nna ke kgoma ka go tena dibosso o ta bona ba tsenya pressure ko go ba ba ko kgaolong,
1017,Naledi Ramashooto,Grace from kfc mogoditshane and the lady from kfc palapye ke lebogile go menagane. Le baakantse mistake wa lona and you delivered my meal ka nako e ke e kopileng. KFC ke kopa le promote Grace(Grato),8,,,
1018,Phoenix Monica Tombo,Issue of the week first bought 4 all gone no reciepts...yesterday bought 2 same issue but 1 ok i think its now bye bye,36,37,"Nna sale ke chaisitse ka one, ke ithekela a spar",
1019,Lwe Ngwako,Choppies supasave mogoditshane bonang prepack ya lona I bought it yesterday,34,33,Gawa di lemoga?,"Mme le lona lo rata drama hle, u wanna tell me you didn’t notice this upon buying?"
1020,Onkarabile Binikwa,KFC BotswanaKFC Botswana Customer Servicethis is very bad. I have ordered for a dunked crunch burger and this is what I find when I get home.  Nah guys,142,63,Batho ba a kgora waits,KFC Botswana Customer Service I got what I wanted. Thank you KFC Botswana
1021,Manno Mfa Marotsi,First National Bankga se gore toll-free ya lona e bereka 24 hours kana legale le ile makgadikgadi epic,30,3,Hahaha ,ba Kong ba itshasitse bokhibidu mo melomong mme lerole lateng mxm
1022,Titty Gaolaolwe,Bathong if you have emergency ka clock e don't go to Julia Molefe clinic. Gatwe it's 24 hours mme ga gona ope yoo theogetseng 2am.security ene ke rona re mo tsosang. Le ene gaa itse go buisa batho. O paletswe ke go re thusa gore ba ba theogetseng ba botsogo ba kae.  Ended up taking my brother to ext 2 clinic.  Bare thusitse ka lorato. We still here and ntse re a thusiwa ka lorato lo lo Kalo.,192,58,Best way is to import health care workers if there is a shortage,
1023,Mpho Leepo II,"Mascom, you can take your number, im not gonna run around to your nearest shop or agent or even call your help center coz those people arent even tech savvy.",22,10,This situation right here is exactly why I passed by the shop twice and harassed them over the phone to confirm several times that I was registered. The stress of doing something early and on time only to have a company do this is REAL!!!!,Ba mbora gore
1024,Tsaone Motshubi,Supreme/Bradlows Mahalapye stop sending my name to your debt collector as I do not owe you.Bradlows furniture,3,7,Bradlows Mahalapye I am waiting for your assistance it's been time'the manager has told me he l call back after consultation with his regional manager... I v long waited for the feedback,
1025,Esther Essie Letshola,Bathong pipe ya metsi e nna e thubegile hela fa lapeng block 4 F/town  lefa oka letsa gaba tle and metsi ao a tsena mo lapeng a senya totaBotswana water utilities le batla gore digela ntlo kante?,4,10,Se ba seitseng ke crazy charges tsa bone,#Water Utilities Corporation #Gaselarona Senai
1026,Chilo Ketlhoafetse,Spar Palapye (opposite cresta),199,164,Retla swa kana,Best before 24 Jun 2024. But still marginally okay to drink though
1027,Ghobela Oupa Terminal Ramalatlha,"Appreciation Post to Botswana PoliceMogoditshane Police(CID Office CRIB)Broadhurst Police(CID "" Assistant Superintendant Doctor Mandawu",758,236,Gatwe bana ba scamilwe jang reska tloga ra scamega le rona,"Lona le scamiwa madi a kana jang tota, waitse lenale Madi mme ke rekisa mafresh ha railpark gale reke, big up to BPS"
1028,Boikobo Manyemane,I feel like the people at Orange are smart thieves... Yesterday I put in 20 pula airtime in my orange simcard... Today it has a 0.00 balance although I have an all my friends data deal which ends next week Tuesday... At orange they chow ur airtime even if you have data,10,6,Orange e ntse jalo.once you recharge your account make sure you finish the money in your phone otherwise you will keep on crying,Inbox our messenger ur number to check any third party subscriptions to help you cancel them all
1029,Mmasete Phatshwane,"This is Botswana Life for you,  an email enquiry sent on the 30th April 2024 and  yaaay! I fjnally got a response on the 13 Jul 2024.",18,,,
1030,Katlego Amanda,"Greetings everyone. People there is this guy who goes by Dawn consultancy on Facebook. This guy is a thief everyday he robs someone in the name of registering companies, selling shelf companies and assisting with business plan. The guy is very good with his words and so convincing. Please be warned. Don't fall victim. Dawn consultancy doesnt exit on CiPA portal. All the shelf companies he claims to be readily available don't exist. He doesn't have an office. Please don't be a victim.",10,1,"Wena mo marsnyaneng o tshwere ka eng? Btc, orange or mascom",
1031,Taylor Banks,TotalEnergiesI got bullied and insulted by your staff today by your fuel station in in molepolole PhuthadikoboBanyana bale ba nthogile tota I have their clipsManager wa bone le ene keha a itswaletse mo officing a gana gotla go nthusaI’d like to send video to the relevant authorities so they can take action ka ditlhapa tse neng ke di tewa le banyana ba shopo ele,176,131,Share the video. We are the relevant authorities,Go nkga maka fela golo gagona motho ka go rogang fela lesa go senya babangwe maina o bue story fully re utlwe gore o ba reele wareng b4 baka go kgomogela ka ditlhapa gal  . A di tswe re ultwe
1032,Richard Harriman,,14,3,Ijoo They want to finish the victims,
1033,Keitumetse Mogatle,Nandos airport junction letse ke sa kgatlhega ke service ya lona maabane especially from ur manager.....how do u guys  provide a 24hrs service mme le gana go provider di bathrooms for di customers and yet ur service ele bonya gape...Letse re khubametse ur manager re kopa  bathroom a ga na...nyaa wa banyana.... till we gave up nd rushed to a nearby filling Station....I think u guys need to do something...u cannot operate like that honestly.,133,78,O hiwa licence jang osena provision for customers toilets?,"Reporta ko councileng, they should provide toilets for their customers at all times"
1034,Keitumetse Mbaiwa,"Mascomplease help us since ke tsena mo lapeng around 5 till now ha ke bula Facebook, I can't even view anything Mme router is subscribed, even to post here it took quite some time gore e bule ke type. This router ya lona e ncha nnyaa betsho, do something guys",4,11,Me and you in the same situation,
